Date,Closing_Price,Highest_Price_Of_the_Day,Lowest_Price_Of_The_Day,Opening_Price_Of_The_Day,Volume_Sold
17-03-2014,4.711997032,4.850168155,4.42502564,4.42502564,68200
18-03-2014,5.048568249,5.278853683,4.694282758,4.7119971,135600
19-03-2014,4.959996223,5.101710266,4.906853542,5.013138905,25600
20-03-2014,4.959996223,4.959996223,4.889493293,4.959996223,8200
21-03-2014,4.690740108,4.924568493,4.605711667,4.924568493,10600
24-03-2014,4.400225639,4.62342553,4.269140054,4.62342553,57400
25-03-2014,4.761595249,4.761595249,4.322281469,4.463995821,8200
26-03-2014,4.417940617,4.747425927,4.339997706,4.463997776,25200
27-03-2014,4.651769161,4.676569041,4.446283576,4.446283576,50600
28-03-2014,4.605711937,4.605711937,4.601460481,4.601460481,4200
31-03-2014,4.648225784,4.743883033,4.623425907,4.743883033,43200
01-04-2014,4.634053707,4.676567921,4.625196706,4.676567921,14600
02-04-2014,4.60925436,4.641140109,4.534854393,4.641140109,9800
03-04-2014,4.563197613,4.637597587,4.538397734,4.637597587,9400
04-04-2014,4.435655117,4.584454733,4.428569244,4.584454733,20800
07-04-2014,4.428568363,4.432111299,4.251425629,4.428568363,22600
08-04-2014,4.304569244,4.428569321,4.254969484,4.425026384,17000
09-04-2014,4.251424789,4.304567464,4.212453517,4.292876049,8000
10-04-2014,4.254969597,4.262055132,4.163563791,4.21599797,70600
11-04-2014,4.24079752,4.24079752,4.218831721,4.218831721,13600
14-04-2014,4.230169296,4.230169296,4.127426501,4.162855191,15200
15-04-2014,4.152226448,4.198283607,4.127426232,4.127426232,18800
16-04-2014,4.215996742,4.233711082,4.177025464,4.1805684,15400
17-04-2014,4.251424789,4.25851066,4.230167517,4.233710452,79200
21-04-2014,4.145140648,4.254969311,4.127426304,4.254969311,8600
22-04-2014,4.169941902,4.244341558,4.156479011,4.15931309,10800
23-04-2014,4.162855148,4.215997845,3.716455281,4.138055268,33800
24-04-2014,3.989254951,4.10971208,3.971895037,4.10971208,8000
25-04-2014,4.166396141,4.240796084,4.017596255,4.017596255,7200
28-04-2014,4.180569172,4.247883272,4.177026236,4.240797737,23800
29-04-2014,4.194741249,4.24788395,4.148684084,4.148684084,12400
30-04-2014,4.102626801,4.127426682,4.095541265,4.127426682,1200
01-05-2014,4.130969048,4.143368987,4.130969048,4.143368987,1400
02-05-2014,4.152226448,4.233711957,4.152226448,4.233711957,2200
05-05-2014,4.162855148,4.23371219,4.060112354,4.177026557,22400
06-05-2014,4.0742836,4.15576911,4.0742836,4.15576911,1400
07-05-2014,4.173482895,4.180568767,4.042397307,4.152225955,6000
08-05-2014,4.180569172,4.180569172,4.180569172,4.180569172,16800
09-05-2014,4.08491087,4.155767887,4.08491087,4.148682354,4000
12-05-2014,4.180569172,4.187654707,4.146203433,4.152226358,11800
13-05-2014,4.109712124,4.113254722,4.03885475,4.077826373,12200
14-05-2014,4.092351913,4.177026266,4.003426443,4.003426443,9600
15-05-2014,4.0742836,4.0742836,4.053026319,4.053026319,2200
16-05-2014,4.0707407,4.0707407,4.028226476,4.028226476,1200
19-05-2014,4.003425598,4.021139938,3.978625387,4.003425598,28200
20-05-2014,4.056569576,4.056569576,3.967998187,3.967998187,8400
21-05-2014,4.053027153,4.05657009,4.035313143,4.05657009,2800
22-05-2014,4.053027153,4.053027153,3.913084515,4.045941617,4400
23-05-2014,4.053027153,4.053027153,4.053027153,4.053027153,0
27-05-2014,3.911311626,3.936111502,3.904226093,3.904226093,6200
28-05-2014,4.031770229,4.031770229,3.900684596,3.900684596,400
29-05-2014,4.031770229,4.038855766,3.900684596,3.900684596,13000
30-05-2014,3.967998028,4.03531247,3.914855331,3.918398268,4200
02-06-2014,3.897140741,3.967997778,3.897140741,3.967997778,16200
03-06-2014,3.904226542,3.936111954,3.897140669,3.897140669,32600
04-06-2014,3.925483942,3.967998168,3.897141125,3.897141125,23600
05-06-2014,4.024682999,4.074283088,3.918397623,3.921940221,71200
06-06-2014,4.035312653,4.038855251,3.921941044,4.003426898,9400
09-06-2014,4.053027153,4.067198564,4.038855742,4.049484554,12200
10-06-2014,4.063655376,4.063655376,3.978626587,4.053026567,34400
